Date,PCODE,Country,Rainfall - (MM),Province,City,Year,Month,Quarter
1981-01-01,PK603,Pakistan,2.0,Punjab,Bahawalpur,1981,January,Q3
1981-11-01,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,January,Q3
1981-01-21,PK603,Pakistan,3.0,Punjab,Bahawalpur,1981,January,Q3
1981-01-02,PK603,Pakistan,3.0,Punjab,Bahawalpur,1981,February,Q3
1981-11-02,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,February,Q3
1981-02-21,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,February,Q3
1981-01-03,PK603,Pakistan,2.0,Punjab,Bahawalpur,1981,March,Q3
1981-11-03,PK603,Pakistan,4.0,Punjab,Bahawalpur,1981,March,Q3
1981-03-21,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,March,Q3
1981-01-04,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,April,Q4
1981-11-04,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,April,Q4
1981-04-21,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,April,Q4
1981-01-05,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,May,Q4
1981-11-05,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,May,Q4
1981-05-21,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,May,Q4
1981-01-06,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,June,Q4
1981-11-06,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,June,Q4
1981-06-21,PK603,Pakistan,12.0,Punjab,Bahawalpur,1981,June,Q4
1981-01-07,PK603,Pakistan,7.0,Punjab,Bahawalpur,1981,July,Q1
1981-11-07,PK603,Pakistan,31.0,Punjab,Bahawalpur,1981,July,Q1
1981-07-21,PK603,Pakistan,25.0,Punjab,Bahawalpur,1981,July,Q1
1981-01-08,PK603,Pakistan,20.0,Punjab,Bahawalpur,1981,August,Q1
1981-11-08,PK603,Pakistan,2.0,Punjab,Bahawalpur,1981,August,Q1
1981-08-21,PK603,Pakistan,2.0,Punjab,Bahawalpur,1981,August,Q1
1981-01-09,PK603,Pakistan,3.0,Punjab,Bahawalpur,1981,September,Q1
1981-11-09,PK603,Pakistan,3.0,Punjab,Bahawalpur,1981,September,Q1
1981-09-21,PK603,Pakistan,4.0,Punjab,Bahawalpur,1981,September,Q1
1981-01-10,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,October,Q2
1981-11-10,PK603,Pakistan,0.0,Punjab,Bahawalpur,1981,October,Q2
1981-10-21,PK603,Pakistan,0.0,Punjab,Bahawalpur,1981,October,Q2
1981-01-11,PK603,Pakistan,0.0,Punjab,Bahawalpur,1981,November,Q2
1981-11-11,PK603,Pakistan,0.0,Punjab,Bahawalpur,1981,November,Q2
1981-11-21,PK603,Pakistan,0.0,Punjab,Bahawalpur,1981,November,Q2
1981-01-12,PK603,Pakistan,0.0,Punjab,Bahawalpur,1981,December,Q2
1981-11-12,PK603,Pakistan,0.0,Punjab,Bahawalpur,1981,December,Q2
1981-12-21,PK603,Pakistan,1.0,Punjab,Bahawalpur,1981,December,Q2
1982-01-01,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,January,Q3
1982-11-01,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,January,Q3
1982-01-21,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,January,Q3
1982-01-02,PK603,Pakistan,1.0,Punjab,Bahawalpur,1982,February,Q3
1982-11-02,PK603,Pakistan,3.0,Punjab,Bahawalpur,1982,February,Q3
1982-02-21,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,February,Q3
1982-01-03,PK603,Pakistan,1.0,Punjab,Bahawalpur,1982,March,Q3
1982-11-03,PK603,Pakistan,1.0,Punjab,Bahawalpur,1982,March,Q3
1982-03-21,PK603,Pakistan,3.0,Punjab,Bahawalpur,1982,March,Q3
1982-01-04,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,April,Q4
1982-11-04,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,April,Q4
1982-04-21,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,April,Q4
1982-01-05,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,May,Q4
1982-11-05,PK603,Pakistan,3.0,Punjab,Bahawalpur,1982,May,Q4
1982-05-21,PK603,Pakistan,4.0,Punjab,Bahawalpur,1982,May,Q4
1982-01-06,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,June,Q4
1982-11-06,PK603,Pakistan,4.0,Punjab,Bahawalpur,1982,June,Q4
1982-06-21,PK603,Pakistan,3.0,Punjab,Bahawalpur,1982,June,Q4
1982-01-07,PK603,Pakistan,4.0,Punjab,Bahawalpur,1982,July,Q1
1982-11-07,PK603,Pakistan,17.0,Punjab,Bahawalpur,1982,July,Q1
1982-07-21,PK603,Pakistan,33.0,Punjab,Bahawalpur,1982,July,Q1
1982-01-08,PK603,Pakistan,10.0,Punjab,Bahawalpur,1982,August,Q1
1982-11-08,PK603,Pakistan,32.0,Punjab,Bahawalpur,1982,August,Q1
1982-08-21,PK603,Pakistan,3.0,Punjab,Bahawalpur,1982,August,Q1
1982-01-09,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,September,Q1
1982-11-09,PK603,Pakistan,2.0,Punjab,Bahawalpur,1982,September,Q1
1982-09-21,PK603,Pakistan,3.0,Punjab,Bahawalpur,1982,September,Q1
1982-01-10,PK603,Pakistan,1.0,Punjab,Bahawalpur,1982,October,Q2
1982-11-10,PK603,Pakistan,0.0,Punjab,Bahawalpur,1982,October,Q2
1982-10-21,PK603,Pakistan,0.0,Punjab,Bahawalpur,1982,October,Q2
1982-01-11,PK603,Pakistan,0.0,Punjab,Bahawalpur,1982,November,Q2
1982-11-11,PK603,Pakistan,0.0,Punjab,Bahawalpur,1982,November,Q2
1982-11-21,PK603,Pakistan,0.0,Punjab,Bahawalpur,1982,November,Q2
1982-01-12,PK603,Pakistan,0.0,Punjab,Bahawalpur,1982,December,Q2
1982-11-12,PK603,Pakistan,1.0,Punjab,Bahawalpur,1982,December,Q2
1982-12-21,PK603,Pakistan,1.0,Punjab,Bahawalpur,1982,December,Q2
1983-01-01,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,January,Q3
1983-11-01,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,January,Q3
1983-01-21,PK603,Pakistan,2.0,Punjab,Bahawalpur,1983,January,Q3
1983-01-02,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,February,Q3
1983-11-02,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,February,Q3
1983-02-21,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,February,Q3
1983-01-03,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,March,Q3
1983-11-03,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,March,Q3
1983-03-21,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,March,Q3
1983-01-04,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,April,Q4
1983-11-04,PK603,Pakistan,2.0,Punjab,Bahawalpur,1983,April,Q4
1983-04-21,PK603,Pakistan,2.0,Punjab,Bahawalpur,1983,April,Q4
1983-01-05,PK603,Pakistan,3.0,Punjab,Bahawalpur,1983,May,Q4
1983-11-05,PK603,Pakistan,6.0,Punjab,Bahawalpur,1983,May,Q4
1983-05-21,PK603,Pakistan,2.0,Punjab,Bahawalpur,1983,May,Q4
1983-01-06,PK603,Pakistan,6.0,Punjab,Bahawalpur,1983,June,Q4
1983-11-06,PK603,Pakistan,3.0,Punjab,Bahawalpur,1983,June,Q4
1983-06-21,PK603,Pakistan,3.0,Punjab,Bahawalpur,1983,June,Q4
1983-01-07,PK603,Pakistan,18.0,Punjab,Bahawalpur,1983,July,Q1
1983-11-07,PK603,Pakistan,3.0,Punjab,Bahawalpur,1983,July,Q1
1983-07-21,PK603,Pakistan,39.0,Punjab,Bahawalpur,1983,July,Q1
1983-01-08,PK603,Pakistan,25.0,Punjab,Bahawalpur,1983,August,Q1
1983-11-08,PK603,Pakistan,41.0,Punjab,Bahawalpur,1983,August,Q1
1983-08-21,PK603,Pakistan,22.0,Punjab,Bahawalpur,1983,August,Q1
1983-01-09,PK603,Pakistan,25.0,Punjab,Bahawalpur,1983,September,Q1
1983-11-09,PK603,Pakistan,3.0,Punjab,Bahawalpur,1983,September,Q1
1983-09-21,PK603,Pakistan,3.0,Punjab,Bahawalpur,1983,September,Q1
1983-01-10,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,October,Q2
1983-11-10,PK603,Pakistan,0.0,Punjab,Bahawalpur,1983,October,Q2
1983-10-21,PK603,Pakistan,0.0,Punjab,Bahawalpur,1983,October,Q2
1983-01-11,PK603,Pakistan,0.0,Punjab,Bahawalpur,1983,November,Q2
1983-11-11,PK603,Pakistan,0.0,Punjab,Bahawalpur,1983,November,Q2
1983-11-21,PK603,Pakistan,0.0,Punjab,Bahawalpur,1983,November,Q2
1983-01-12,PK603,Pakistan,0.0,Punjab,Bahawalpur,1983,December,Q2
1983-11-12,PK603,Pakistan,0.0,Punjab,Bahawalpur,1983,December,Q2
1983-12-21,PK603,Pakistan,1.0,Punjab,Bahawalpur,1983,December,Q2
