date,temp_max,temp_min,rain,solar_radiation,city,month
2013-12-31,13.877,1.127,0.0,12.69,Rawalpindi,December
2014-01-01,16.677,1.677,0.0,12.88,Rawalpindi,January
2014-01-02,16.876999,0.227,0.0,13.09,Rawalpindi,January
2014-01-03,16.026999,3.077,0.0,11.17,Rawalpindi,January
2014-01-04,16.927,1.427,0.0,12.61,Rawalpindi,January
2014-01-05,16.327,1.577,0.0,12.75,Rawalpindi,January
2014-01-06,14.777,3.127,0.0,9.54,Rawalpindi,January
2014-01-07,12.777,4.7770004,1.3000001,4.31,Rawalpindi,January
2014-01-08,14.427,2.177,0.0,12.66,Rawalpindi,January
2014-01-09,14.577001,2.477,0.2,11.2,Rawalpindi,January
2014-01-10,15.776999,1.677,0.0,13.55,Rawalpindi,January
2014-01-11,15.977,1.377,0.0,9.82,Rawalpindi,January
2014-01-12,17.427,2.677,0.0,13.08,Rawalpindi,January
2014-01-13,18.577,4.227,0.0,13.3,Rawalpindi,January
2014-01-14,18.827,3.577,0.0,13.52,Rawalpindi,January
2014-01-15,17.126999,3.177,0.0,10.52,Rawalpindi,January
2014-01-16,15.427,3.427,0.1,9.64,Rawalpindi,January
2014-01-17,15.927001,3.177,0.0,13.83,Rawalpindi,January
2014-01-18,16.876999,3.277,0.0,13.46,Rawalpindi,January
2014-01-19,17.876999,2.227,0.0,11.98,Rawalpindi,January
2014-01-20,17.126999,5.727,0.0,11.25,Rawalpindi,January
2014-01-21,13.077001,7.977,4.2999997,5.41,Rawalpindi,January
2014-01-22,16.526999,7.7770004,4.2,11.19,Rawalpindi,January
2014-01-23,18.626999,5.2770004,0.0,14.37,Rawalpindi,January
2014-01-24,19.327,6.427,0.0,13.9,Rawalpindi,January
2014-01-25,19.876999,5.427,0.0,14.34,Rawalpindi,January
2014-01-26,20.727,4.727,0.0,14.87,Rawalpindi,January
2014-01-27,20.827,5.2770004,0.0,14.47,Rawalpindi,January
2014-01-28,20.727,4.177,0.0,15.33,Rawalpindi,January
2014-01-29,20.126999,4.477,0.0,15.07,Rawalpindi,January
2014-01-30,20.776999,5.177,0.0,14.77,Rawalpindi,January
2014-01-31,19.927,8.027,0.0,14.93,Rawalpindi,January
2014-02-01,18.427,9.327001,3.9,12.11,Rawalpindi,February
2014-02-02,12.177,10.127,33.500004,3.54,Rawalpindi,February
2014-02-03,15.227,7.677,4.1,10.03,Rawalpindi,February
2014-02-04,15.227,7.677,6.5999994,12.04,Rawalpindi,February
2014-02-05,11.327001,6.977,14.400001,4.65,Rawalpindi,February
2014-02-06,14.227,6.677,0.6,10.37,Rawalpindi,February
2014-02-07,15.427,4.5270004,0.0,15.49,Rawalpindi,February
2014-02-08,16.776999,3.027,0.0,16.98,Rawalpindi,February
2014-02-09,14.927,1.677,0.5,11.96,Rawalpindi,February
2014-02-10,15.927001,2.027,0.0,16.62,Rawalpindi,February
2014-02-11,16.626999,1.8770001,0.0,17.55,Rawalpindi,February
2014-02-12,18.177,1.177,0.0,17.74,Rawalpindi,February
2014-02-13,14.077001,4.627,1.4000001,13.35,Rawalpindi,February
2014-02-14,14.927,3.127,0.0,15.67,Rawalpindi,February
2014-02-15,15.827001,1.927,0.0,17.54,Rawalpindi,February
2014-02-16,17.677,2.827,0.0,18.49,Rawalpindi,February
2014-02-17,19.477,1.927,0.0,18.55,Rawalpindi,February
2014-02-18,17.727,7.8270006,0.0,11.39,Rawalpindi,February
2014-02-19,18.626999,5.3269997,0.0,15.62,Rawalpindi,February
2014-02-20,14.127,7.2770004,2.5999997,6.92,Rawalpindi,February
2014-02-21,14.977,6.877,1.5000001,13.53,Rawalpindi,February
2014-02-22,19.376999,4.627,0.0,17.8,Rawalpindi,February
2014-02-23,20.727,5.927,0.0,18.77,Rawalpindi,February
2014-02-24,21.227,5.2770004,0.0,18.98,Rawalpindi,February
2014-02-25,18.626999,6.3269997,2.5,13.02,Rawalpindi,February
2014-02-26,17.126999,6.927,8.0,14.86,Rawalpindi,February
2014-02-27,17.526999,5.0769997,2.5,16.62,Rawalpindi,February
2014-02-28,15.577001,5.377,0.0,15.45,Rawalpindi,February
2014-03-01,17.876999,4.8269997,0.0,18.58,Rawalpindi,March
2014-03-02,14.527,7.127,5.1999993,7.84,Rawalpindi,March
2014-03-03,17.626999,7.627,0.2,17.34,Rawalpindi,March
2014-03-04,17.677,5.8269997,0.4,18.74,Rawalpindi,March
2014-03-05,19.427,5.377,0.0,19.27,Rawalpindi,March
2014-03-06,19.977,5.627,0.0,18.2,Rawalpindi,March
2014-03-07,21.977,6.5769997,0.0,20.53,Rawalpindi,March
2014-03-08,18.327,9.377,16.7,12.29,Rawalpindi,March
2014-03-09,16.126999,11.177,26.800001,7.7,Rawalpindi,March
2014-03-10,13.077001,6.477,36.4,8.79,Rawalpindi,March
2014-03-11,19.126999,5.227,0.0,20.19,Rawalpindi,March
2014-03-12,21.927,7.2770004,0.0,21.6,Rawalpindi,March
2014-03-13,23.376999,6.377,0.2,20.21,Rawalpindi,March
2014-03-14,21.776999,11.527,1.3000001,10.19,Rawalpindi,March
2014-03-15,25.276999,13.827001,0.0,20.38,Rawalpindi,March
2014-03-16,23.876999,14.777,33.4,12.58,Rawalpindi,March
2014-03-17,17.727,11.577001,9.599999,10.34,Rawalpindi,March
2014-03-18,22.776999,8.727,0.0,22.77,Rawalpindi,March
2014-03-19,23.577,8.577001,0.0,20.93,Rawalpindi,March
2014-03-20,19.927,12.177,0.9000001,12.81,Rawalpindi,March
2014-03-21,24.427,9.427,0.4,22.51,Rawalpindi,March
2014-03-22,21.026999,10.777,4.3,10.09,Rawalpindi,March
2014-03-23,14.777,12.177,43.5,2.89,Rawalpindi,March
2014-03-24,20.776999,11.777,4.8,17.16,Rawalpindi,March
2014-03-25,22.977,9.977,0.0,21.01,Rawalpindi,March
2014-03-26,23.776999,11.477,0.0,20.51,Rawalpindi,March
2014-03-27,15.677,12.177,15.500002,5.99,Rawalpindi,March
2014-03-28,22.427,9.777,0.6,22.98,Rawalpindi,March
2014-03-29,24.276999,10.327001,0.0,24.39,Rawalpindi,March
2014-03-30,25.427,9.227,0.0,25.08,Rawalpindi,March
2014-03-31,26.327,8.827001,0.0,24.34,Rawalpindi,March
2014-04-01,18.876999,13.127,15.3,7.29,Rawalpindi,April
2014-04-02,23.677,9.577001,0.0,24.6,Rawalpindi,April
