Date,PCODE,Country,Rainfall - (MM),Province,City,Year,Month,Quarter
01-01-81,PK2,Pakistan,6,Balochistan,Balochistan,1981,January,Q3
11-01-81,PK2,Pakistan,6,Balochistan,Balochistan,1981,January,Q3
21-01-81,PK2,Pakistan,9,Balochistan,Balochistan,1981,January,Q3
01-02-81,PK2,Pakistan,15,Balochistan,Balochistan,1981,February,Q3
11-02-81,PK2,Pakistan,5,Balochistan,Balochistan,1981,February,Q3
21-02-81,PK2,Pakistan,6,Balochistan,Balochistan,1981,February,Q3
01-03-81,PK2,Pakistan,4,Balochistan,Balochistan,1981,March,Q3
11-03-81,PK2,Pakistan,18,Balochistan,Balochistan,1981,March,Q3
21-03-81,PK2,Pakistan,3,Balochistan,Balochistan,1981,March,Q3
01-04-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,April,Q4
11-04-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,April,Q4
21-04-81,PK2,Pakistan,4,Balochistan,Balochistan,1981,April,Q4
01-05-81,PK2,Pakistan,4,Balochistan,Balochistan,1981,May,Q4
11-05-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,May,Q4
21-05-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,May,Q4
01-06-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,June,Q4
11-06-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,June,Q4
21-06-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,June,Q4
01-07-81,PK2,Pakistan,3,Balochistan,Balochistan,1981,July,Q1
11-07-81,PK2,Pakistan,5,Balochistan,Balochistan,1981,July,Q1
21-07-81,PK2,Pakistan,14,Balochistan,Balochistan,1981,July,Q1
01-08-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,August,Q1
11-08-81,PK2,Pakistan,2,Balochistan,Balochistan,1981,August,Q1
21-08-81,PK2,Pakistan,2,Balochistan,Balochistan,1981,August,Q1
01-09-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,September,Q1
11-09-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,September,Q1
21-09-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,September,Q1
01-10-81,PK2,Pakistan,0,Balochistan,Balochistan,1981,October,Q2
11-10-81,PK2,Pakistan,0,Balochistan,Balochistan,1981,October,Q2
21-10-81,PK2,Pakistan,0,Balochistan,Balochistan,1981,October,Q2
01-11-81,PK2,Pakistan,0,Balochistan,Balochistan,1981,November,Q2
11-11-81,PK2,Pakistan,0,Balochistan,Balochistan,1981,November,Q2
21-11-81,PK2,Pakistan,1,Balochistan,Balochistan,1981,November,Q2
01-12-81,PK2,Pakistan,2,Balochistan,Balochistan,1981,December,Q2
11-12-81,PK2,Pakistan,2,Balochistan,Balochistan,1981,December,Q2
21-12-81,PK2,Pakistan,3,Balochistan,Balochistan,1981,December,Q2
01-01-82,PK2,Pakistan,10,Balochistan,Balochistan,1982,January,Q3
11-01-82,PK2,Pakistan,4,Balochistan,Balochistan,1982,January,Q3
21-01-82,PK2,Pakistan,21,Balochistan,Balochistan,1982,January,Q3
01-02-82,PK2,Pakistan,32,Balochistan,Balochistan,1982,February,Q3
11-02-82,PK2,Pakistan,16,Balochistan,Balochistan,1982,February,Q3
21-02-82,PK2,Pakistan,7,Balochistan,Balochistan,1982,February,Q3
01-03-82,PK2,Pakistan,8,Balochistan,Balochistan,1982,March,Q3
11-03-82,PK2,Pakistan,12,Balochistan,Balochistan,1982,March,Q3
21-03-82,PK2,Pakistan,19,Balochistan,Balochistan,1982,March,Q3
01-04-82,PK2,Pakistan,3,Balochistan,Balochistan,1982,April,Q4
11-04-82,PK2,Pakistan,3,Balochistan,Balochistan,1982,April,Q4
21-04-82,PK2,Pakistan,3,Balochistan,Balochistan,1982,April,Q4
01-05-82,PK2,Pakistan,3,Balochistan,Balochistan,1982,May,Q4
11-05-82,PK2,Pakistan,3,Balochistan,Balochistan,1982,May,Q4
21-05-82,PK2,Pakistan,6,Balochistan,Balochistan,1982,May,Q4
01-06-82,PK2,Pakistan,2,Balochistan,Balochistan,1982,June,Q4
11-06-82,PK2,Pakistan,2,Balochistan,Balochistan,1982,June,Q4
21-06-82,PK2,Pakistan,3,Balochistan,Balochistan,1982,June,Q4
01-07-82,PK2,Pakistan,6,Balochistan,Balochistan,1982,July,Q1
11-07-82,PK2,Pakistan,8,Balochistan,Balochistan,1982,July,Q1
21-07-82,PK2,Pakistan,4,Balochistan,Balochistan,1982,July,Q1
01-08-82,PK2,Pakistan,6,Balochistan,Balochistan,1982,August,Q1
11-08-82,PK2,Pakistan,10,Balochistan,Balochistan,1982,August,Q1
21-08-82,PK2,Pakistan,1,Balochistan,Balochistan,1982,August,Q1
01-09-82,PK2,Pakistan,1,Balochistan,Balochistan,1982,September,Q1
11-09-82,PK2,Pakistan,1,Balochistan,Balochistan,1982,September,Q1
21-09-82,PK2,Pakistan,1,Balochistan,Balochistan,1982,September,Q1
01-10-82,PK2,Pakistan,1,Balochistan,Balochistan,1982,October,Q2
11-10-82,PK2,Pakistan,1,Balochistan,Balochistan,1982,October,Q2
21-10-82,PK2,Pakistan,1,Balochistan,Balochistan,1982,October,Q2
01-11-82,PK2,Pakistan,1,Balochistan,Balochistan,1982,November,Q2
11-11-82,PK2,Pakistan,1,Balochistan,Balochistan,1982,November,Q2
21-11-82,PK2,Pakistan,1,Balochistan,Balochistan,1982,November,Q2
01-12-82,PK2,Pakistan,9,Balochistan,Balochistan,1982,December,Q2
11-12-82,PK2,Pakistan,11,Balochistan,Balochistan,1982,December,Q2
21-12-82,PK2,Pakistan,5,Balochistan,Balochistan,1982,December,Q2
01-01-83,PK2,Pakistan,4,Balochistan,Balochistan,1983,January,Q3
11-01-83,PK2,Pakistan,4,Balochistan,Balochistan,1983,January,Q3
21-01-83,PK2,Pakistan,5,Balochistan,Balochistan,1983,January,Q3
01-02-83,PK2,Pakistan,7,Balochistan,Balochistan,1983,February,Q3
11-02-83,PK2,Pakistan,9,Balochistan,Balochistan,1983,February,Q3
21-02-83,PK2,Pakistan,5,Balochistan,Balochistan,1983,February,Q3
01-03-83,PK2,Pakistan,5,Balochistan,Balochistan,1983,March,Q3
11-03-83,PK2,Pakistan,5,Balochistan,Balochistan,1983,March,Q3
21-03-83,PK2,Pakistan,6,Balochistan,Balochistan,1983,March,Q3
01-04-83,PK2,Pakistan,5,Balochistan,Balochistan,1983,April,Q4
11-04-83,PK2,Pakistan,3,Balochistan,Balochistan,1983,April,Q4
21-04-83,PK2,Pakistan,3,Balochistan,Balochistan,1983,April,Q4
01-05-83,PK2,Pakistan,2,Balochistan,Balochistan,1983,May,Q4
11-05-83,PK2,Pakistan,2,Balochistan,Balochistan,1983,May,Q4
21-05-83,PK2,Pakistan,2,Balochistan,Balochistan,1983,May,Q4
01-06-83,PK2,Pakistan,1,Balochistan,Balochistan,1983,June,Q4
11-06-83,PK2,Pakistan,1,Balochistan,Balochistan,1983,June,Q4
21-06-83,PK2,Pakistan,2,Balochistan,Balochistan,1983,June,Q4
01-07-83,PK2,Pakistan,4,Balochistan,Balochistan,1983,July,Q1
11-07-83,PK2,Pakistan,3,Balochistan,Balochistan,1983,July,Q1
21-07-83,PK2,Pakistan,11,Balochistan,Balochistan,1983,July,Q1
01-08-83,PK2,Pakistan,8,Balochistan,Balochistan,1983,August,Q1
11-08-83,PK2,Pakistan,11,Balochistan,Balochistan,1983,August,Q1
21-08-83,PK2,Pakistan,4,Balochistan,Balochistan,1983,August,Q1
01-09-83,PK2,Pakistan,5,Balochistan,Balochistan,1983,September,Q1
11-09-83,PK2,Pakistan,1,Balochistan,Balochistan,1983,September,Q1
21-09-83,PK2,Pakistan,1,Balochistan,Balochistan,1983,September,Q1
01-10-83,PK2,Pakistan,0,Balochistan,Balochistan,1983,October,Q2
11-10-83,PK2,Pakistan,0,Balochistan,Balochistan,1983,October,Q2
21-10-83,PK2,Pakistan,0,Balochistan,Balochistan,1983,October,Q2
01-11-83,PK2,Pakistan,0,Balochistan,Balochistan,1983,November,Q2
11-11-83,PK2,Pakistan,0,Balochistan,Balochistan,1983,November,Q2
21-11-83,PK2,Pakistan,1,Balochistan,Balochistan,1983,November,Q2
01-12-83,PK2,Pakistan,3,Balochistan,Balochistan,1983,December,Q2
11-12-83,PK2,Pakistan,4,Balochistan,Balochistan,1983,December,Q2
21-12-83,PK2,Pakistan,4,Balochistan,Balochistan,1983,December,Q2
01-01-84,PK2,Pakistan,4,Balochistan,Balochistan,1984,January,Q3
11-01-84,PK2,Pakistan,4,Balochistan,Balochistan,1984,January,Q3
21-01-84,PK2,Pakistan,4,Balochistan,Balochistan,1984,January,Q3
01-02-84,PK2,Pakistan,2,Balochistan,Balochistan,1984,February,Q3
11-02-84,PK2,Pakistan,3,Balochistan,Balochistan,1984,February,Q3
21-02-84,PK2,Pakistan,2,Balochistan,Balochistan,1984,February,Q3
01-03-84,PK2,Pakistan,8,Balochistan,Balochistan,1984,March,Q3
11-03-84,PK2,Pakistan,6,Balochistan,Balochistan,1984,March,Q3
21-03-84,PK2,Pakistan,6,Balochistan,Balochistan,1984,March,Q3
01-04-84,PK2,Pakistan,2,Balochistan,Balochistan,1984,April,Q4
11-04-84,PK2,Pakistan,2,Balochistan,Balochistan,1984,April,Q4
21-04-84,PK2,Pakistan,2,Balochistan,Balochistan,1984,April,Q4
01-05-84,PK2,Pakistan,1,Balochistan,Balochistan,1984,May,Q4
11-05-84,PK2,Pakistan,1,Balochistan,Balochistan,1984,May,Q4
21-05-84,PK2,Pakistan,1,Balochistan,Balochistan,1984,May,Q4
01-06-84,PK2,Pakistan,1,Balochistan,Balochistan,1984,June,Q4
11-06-84,PK2,Pakistan,1,Balochistan,Balochistan,1984,June,Q4
21-06-84,PK2,Pakistan,1,Balochistan,Balochistan,1984,June,Q4
01-07-84,PK2,Pakistan,3,Balochistan,Balochistan,1984,July,Q1
11-07-84,PK2,Pakistan,10,Balochistan,Balochistan,1984,July,Q1
21-07-84,PK2,Pakistan,5,Balochistan,Balochistan,1984,July,Q1
01-08-84,PK2,Pakistan,6,Balochistan,Balochistan,1984,August,Q1
11-08-84,PK2,Pakistan,13,Balochistan,Balochistan,1984,August,Q1
21-08-84,PK2,Pakistan,4,Balochistan,Balochistan,1984,August,Q1
01-09-84,PK2,Pakistan,1,Balochistan,Balochistan,1984,September,Q1
11-09-84,PK2,Pakistan,1,Balochistan,Balochistan,1984,September,Q1
21-09-84,PK2,Pakistan,1,Balochistan,Balochistan,1984,September,Q1
01-10-84,PK2,Pakistan,0,Balochistan,Balochistan,1984,October,Q2
11-10-84,PK2,Pakistan,0,Balochistan,Balochistan,1984,October,Q2
21-10-84,PK2,Pakistan,0,Balochistan,Balochistan,1984,October,Q2
01-11-84,PK2,Pakistan,0,Balochistan,Balochistan,1984,November,Q2
11-11-84,PK2,Pakistan,0,Balochistan,Balochistan,1984,November,Q2
21-11-84,PK2,Pakistan,1,Balochistan,Balochistan,1984,November,Q2
01-12-84,PK2,Pakistan,3,Balochistan,Balochistan,1984,December,Q2
11-12-84,PK2,Pakistan,3,Balochistan,Balochistan,1984,December,Q2
21-12-84,PK2,Pakistan,4,Balochistan,Balochistan,1984,December,Q2
01-01-85,PK2,Pakistan,7,Balochistan,Balochistan,1985,January,Q3
11-01-85,PK2,Pakistan,6,Balochistan,Balochistan,1985,January,Q3
21-01-85,PK2,Pakistan,7,Balochistan,Balochistan,1985,January,Q3
01-02-85,PK2,Pakistan,3,Balochistan,Balochistan,1985,February,Q3
11-02-85,PK2,Pakistan,3,Balochistan,Balochistan,1985,February,Q3
21-02-85,PK2,Pakistan,2,Balochistan,Balochistan,1985,February,Q3
01-03-85,PK2,Pakistan,4,Balochistan,Balochistan,1985,March,Q3
11-03-85,PK2,Pakistan,5,Balochistan,Balochistan,1985,March,Q3
21-03-85,PK2,Pakistan,5,Balochistan,Balochistan,1985,March,Q3
01-04-85,PK2,Pakistan,3,Balochistan,Balochistan,1985,April,Q4
11-04-85,PK2,Pakistan,2,Balochistan,Balochistan,1985,April,Q4
21-04-85,PK2,Pakistan,2,Balochistan,Balochistan,1985,April,Q4
01-05-85,PK2,Pakistan,1,Balochistan,Balochistan,1985,May,Q4
11-05-85,PK2,Pakistan,1,Balochistan,Balochistan,1985,May,Q4
21-05-85,PK2,Pakistan,1,Balochistan,Balochistan,1985,May,Q4
01-06-85,PK2,Pakistan,1,Balochistan,Balochistan,1985,June,Q4
11-06-85,PK2,Pakistan,0,Balochistan,Balochistan,1985,June,Q4
21-06-85,PK2,Pakistan,1,Balochistan,Balochistan,1985,June,Q4
01-07-85,PK2,Pakistan,3,Balochistan,Balochistan,1985,July,Q1
11-07-85,PK2,Pakistan,17,Balochistan,Balochistan,1985,July,Q1
21-07-85,PK2,Pakistan,8,Balochistan,Balochistan,1985,July,Q1
01-08-85,PK2,Pakistan,5,Balochistan,Balochistan,1985,August,Q1
11-08-85,PK2,Pakistan,1,Balochistan,Balochistan,1985,August,Q1
21-08-85,PK2,Pakistan,2,Balochistan,Balochistan,1985,August,Q1
01-09-85,PK2,Pakistan,1,Balochistan,Balochistan,1985,September,Q1
11-09-85,PK2,Pakistan,1,Balochistan,Balochistan,1985,September,Q1
21-09-85,PK2,Pakistan,1,Balochistan,Balochistan,1985,September,Q1
01-10-85,PK2,Pakistan,0,Balochistan,Balochistan,1985,October,Q2
11-10-85,PK2,Pakistan,0,Balochistan,Balochistan,1985,October,Q2
21-10-85,PK2,Pakistan,0,Balochistan,Balochistan,1985,October,Q2
01-11-85,PK2,Pakistan,0,Balochistan,Balochistan,1985,November,Q2
11-11-85,PK2,Pakistan,0,Balochistan,Balochistan,1985,November,Q2
21-11-85,PK2,Pakistan,1,Balochistan,Balochistan,1985,November,Q2
01-12-85,PK2,Pakistan,2,Balochistan,Balochistan,1985,December,Q2
11-12-85,PK2,Pakistan,5,Balochistan,Balochistan,1985,December,Q2
21-12-85,PK2,Pakistan,3,Balochistan,Balochistan,1985,December,Q2
01-01-86,PK2,Pakistan,3,Balochistan,Balochistan,1986,January,Q3
11-01-86,PK2,Pakistan,3,Balochistan,Balochistan,1986,January,Q3
21-01-86,PK2,Pakistan,3,Balochistan,Balochistan,1986,January,Q3
01-02-86,PK2,Pakistan,6,Balochistan,Balochistan,1986,February,Q3
11-02-86,PK2,Pakistan,6,Balochistan,Balochistan,1986,February,Q3
21-02-86,PK2,Pakistan,4,Balochistan,Balochistan,1986,February,Q3
01-03-86,PK2,Pakistan,7,Balochistan,Balochistan,1986,March,Q3
11-03-86,PK2,Pakistan,10,Balochistan,Balochistan,1986,March,Q3
21-03-86,PK2,Pakistan,6,Balochistan,Balochistan,1986,March,Q3
01-04-86,PK2,Pakistan,2,Balochistan,Balochistan,1986,April,Q4
11-04-86,PK2,Pakistan,2,Balochistan,Balochistan,1986,April,Q4
21-04-86,PK2,Pakistan,2,Balochistan,Balochistan,1986,April,Q4
